op,operator_run,status,already_in_ncnn,decomposed,optimization_lands,kernel_numeric,kernel_max_diff,e2e,e2e_max_diff,compile,correctness,correctness_max_diff,device_status,device_latency,device_speedup,native_supported,speedup_shipped,speedup_fair,ours_ms,native_shipped_ms,native_fair_ms
ATan,True,success,True,False,True,success,5.960464477539063e-08,True,5.960464477539063e-08,True,True,5.960464477539063e-08,passed,15.8592,,True,0.861,1.469,2.37,2.04,2.63
Abs,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,13.6696,,True,5.328,2.143,0.67,3.57,1.5
Acos,True,success,True,False,True,success,2.384185791015625e-07,True,4.76837158203125e-07,True,True,4.76837158203125e-07,passed,0.7459,,True,6.556,1.333,0.09,0.59,0.12
Acosh,True,success,True,False,True,success,0.0,True,1.1920928955078125e-07,True,True,1.1920928955078125e-07,passed,0.2183,,True,1.0,1.25,0.1,0.1,0.15
Add,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.049,,True,2.5,0.5,0.02,0.05,0.01
And,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.0055,,False,,,,,
ArgMax,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.3725,,False,,,0.04,,
ArgMax_default_axis_example,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.4136,,False,,,0.03,,
ArgMax_keepdims_example,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.1226,,False,,,0.02,,
ArgMax_negative_axis_keepdims_example,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.1738,,False,,,0.12,,
ArgMin,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.373,,False,,,0.01,,
ArgMin_default_axis_example,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.1551,,False,,,0.02,,
ArgMin_keepdims_example,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.1181,,False,,,0.04,,
ArgMin_negative_axis_keepdims_example,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.1461,,False,,,0.02,,
Asin,True,success,True,False,True,success,1.1920928955078125e-07,True,3.725290298461914e-07,True,True,3.725290298461914e-07,passed,7.3074,,True,11.796,0.938,1.13,13.33,1.06
Asinh,True,success,True,False,True,success,0.0,True,2.384185791015625e-07,True,True,2.384185791015625e-07,passed,1.6748,,True,0.721,0.829,1.11,0.8,0.92
Atanh,True,success,True,False,True,success,5.960464477539063e-08,True,5.960464477539063e-08,True,True,5.960464477539063e-08,passed,0.9419,,True,0.769,0.882,0.13,0.1,0.15
AveragePool,True,success,True,False,True,success,0.0,True,2.980232238769531e-07,True,True,2.980232238769531e-07,passed,0.0088,,True,3.333,1.909,0.09,0.3,0.21
AveragePool_2d_ceil,True,success,True,False,True,success,0.0,True,7.450580596923828e-08,True,True,7.450580596923828e-08,passed,0.0284,,True,1.588,2.143,0.17,0.27,0.3
AveragePool_2d_strides,True,success,True,False,True,success,5.960464477539063e-08,True,1.7881393432617188e-07,True,True,1.7881393432617188e-07,passed,0.0641,,True,1.69,3.379,0.29,0.49,0.98
BatchNormalization,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.6934,,True,1.254,2.097,3.07,3.85,1.51
BatchNormalization_epsilon,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.6926,,True,5.247,2.197,0.73,3.83,1.56
BatchNormalization_momentum,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.7001,,True,5.559,1.768,0.68,3.78,1.45
BitWiseOr,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,none,,,False,,,,,
BitWiseXor,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.8967,,False,,,,,
BitwiseAnd,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.0512,,False,,,,,
Cast,True,success,False,False,True,success,0.00390625,True,0.0019516944885253906,True,True,0.0019516944885253906,passed,0.4996,,,,,,,
Ceil,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.2574,,True,5.25,1.0,0.04,0.21,0.05
Celu,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.4234,,True,0.439,0.267,1.32,0.58,0.46
Clip,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,32.7465,,True,4.88,2.158,1.67,8.15,3.41
Concat,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.5569,,True,3.333,0.333,0.03,0.1,0.01
Conv,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.5551,,True,0.42,0.075,3.45,1.45,0.32
Conv3D,True,success,True,False,True,success,0.0,True,0.0012803077697753906,True,True,0.0012803077697753906,passed,149.2485,,True,,,,,
ConvTranspose_2D__asymmetric_input__asymmetric_kernel,True,fail,True,False,True,success,5.662441253662109e-07,False,1.225068211555481,,,,passed,2.4282,,,,,,,
ConvTranspose_dilations,True,success,True,False,True,success,0.00052642822265625,True,0.00049591064453125,True,True,0.00049591064453125,passed,48.8255,,True,0.244,0.234,23.74,5.8,7.38
Conv_with_strides_no_padding,True,success,True,False,True,success,0.000579833984375,True,0.00016021728515625,True,True,0.00016021728515625,passed,0.0267,,True,,,,,
Conv_with_strides_padding,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.7459,,True,0.329,1.04,1.64,0.54,1.29
ConvolutionDepthwise,True,fail,,True,False,fail,2.7881665229797363,,,,,,,,,,,,,,
Cos,True,success,True,False,True,success,5.960464477539063e-08,True,5.960464477539063e-08,True,True,5.960464477539063e-08,passed,4.2247,,True,0.651,0.835,1.09,0.71,0.91
Cosh,True,success,True,False,True,success,1.9073486328125e-06,True,3.814697265625e-06,True,True,3.814697265625e-06,passed,1.1948,,True,1.409,0.932,0.44,0.62,0.41
CumSum,True,success,True,False,True,success,2.384185791015625e-06,True,2.384185791015625e-06,True,True,2.384185791015625e-06,passed,0.0516,,True,1.0,1.0,0.01,0.01,0.01
DeconvolutionDepthwise_2D_kernel,True,success,True,False,True,success,4.76837158203125e-07,True,0.0013298988342285156,True,True,0.0013298988342285156,passed,5.2749,,True,0.379,2.918,13.19,5.0,38.52
DeconvolutionDepthwise_2D_stride,True,success,True,False,True,success,2.384185791015625e-07,True,0.0013575553894042969,True,True,0.0013575553894042969,passed,5.3452,,True,0.92,7.855,23.36,21.48,183.34
Deconvolution_1D,True,fail,True,False,True,success,6.854534149169922e-07,False,1.9814293384552002,,,,passed,2.459,,True,5.353,7.0,0.34,1.82,1.82
Deconvolution_2D__asymmetric_input__asymmetric_kernel,True,fail,True,False,True,success,5.364418029785156e-07,False,0.9593201279640198,,,,passed,68.2484,,True,0.036,0.087,600.29,21.61,52.5
Deconvolution_2D_asymmetric_input_square_kernel___dilated____padded____strided__,True,success,True,False,True,success,0.0,True,0.00014504790306091309,True,True,0.00014504790306091309,passed,10.7998,,True,0.086,0.08,277.31,23.77,22.2
Dense_Convolution_1D,True,success,True,False,True,success,0.0,True,0.0005218982696533203,True,True,0.0005218982696533203,passed,6.7468,,True,3.158,1.737,0.19,0.6,0.33
Dense_Convolution_2D,True,success,True,False,True,success,0.0,True,0.0012211799621582031,True,True,0.0012211799621582031,passed,33.3821,,True,0.006,0.01,387.69,2.35,3.91
Dense_Convolution_2D__asymmetric_input__square_kernel,True,fail,,False,True,success,0.0,,,,,,passed,117.4729,,True,0.027,0.018,269.84,7.23,17.11
Dense_Convolution_2D_kernel,True,success,True,False,True,success,0.0,True,0.00128173828125,True,True,0.00128173828125,passed,191.0266,,True,0.131,0.149,951.24,124.29,131.41
DepthToSpace,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.1744,,True,1.053,1.357,0.19,0.2,0.19
Det,True,success,False,False,True,success,nan,True,nan,True,True,nan,passed,20.6468,,False,,,,,
Det_2d,True,success,False,False,True,success,nan,True,nan,True,True,nan,passed,1325.798,,False,,,,,
Det_3d,True,fail,,False,True,fail,nan,,,,,,,,,False,,,3.06,,
Div,True,success,True,False,True,success,0.0,True,1.1920928955078125e-07,True,True,1.1920928955078125e-07,passed,0.0703,,True,2.5,1.0,0.02,0.05,0.02
ELU,True,success,True,False,True,success,7.450580596923828e-09,True,7.450580596923828e-09,True,True,7.450580596923828e-09,passed,0.4166,,True,0.923,1.0,0.13,0.12,0.13
Einsum,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.0528,,True,,,,1.61,1.59
Einsum_diagonal,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.0023,,True,,,0.01,,
Einsum_elementwise,True,fail,,False,True,fail,,,,,,,,,,,,,,,
Einsum_sum_all,True,success,True,False,True,success,0.00031280517578125,True,0.000152587890625,True,True,0.000152587890625,passed,0.0014,,True,0.5,0.5,0.02,0.01,0.01
Einsum_transpose,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.042,,True,1.0,1.0,0.17,0.17,0.17
Equal,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.1132,,False,,,,,
Erf,True,success,True,False,True,success,3.948807716369629e-07,True,3.948807716369629e-07,True,True,3.948807716369629e-07,passed,0.0211,,True,0.833,1.0,0.12,0.1,0.12
Exp,True,success,True,False,True,success,1.52587890625e-05,True,1.52587890625e-05,True,True,1.52587890625e-05,passed,12.5898,,True,1.277,0.8,1.77,2.26,1.88
Floor,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,2.0096,,True,2.206,0.676,0.34,0.75,0.23
Gather,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.0006,,False,,,0.01,,
GatherElements,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.1641,,False,,,0.01,,
Gemm,True,fail,,False,True,fail,0.08460873365402222,,,,,,,,,True,,,0.72,,
Gemm_alpha,True,success,True,True,False,success,0.0,True,0.0,True,True,0.0,passed,0.0309,,True,0.444,,0.09,0.04,
Gemm_beta,True,success,True,True,False,success,0.0,True,0.0,True,True,0.0,passed,0.0072,,True,0.5,0.6,0.04,0.02,0.03
Gemm_no_bias,True,success,True,False,True,success,0.0,True,1.1444091796875e-05,True,True,1.1444091796875e-05,passed,0.0278,,True,0.028,0.047,1.06,0.03,0.05
Gemm_scalar_bias,True,success,True,False,True,success,5.960464477539062e-07,True,0.00046122074127197266,True,True,0.00046122074127197266,passed,0.7801,,True,,,,,
Gemm_transposed,True,success,True,True,False,success,0.0,True,0.0014226436614990234,True,True,0.0014226436614990234,passed,0.4626,,True,0.593,0.733,0.27,0.16,0.22
GlobalAveragePool,True,success,True,True,False,success,1.909211277961731e-08,True,3.725290298461914e-09,True,True,3.725290298461914e-09,passed,0.0102,,True,1.0,0.75,0.07,0.07,0.03
GlobalAveragePool_2d,True,success,True,True,False,success,1.909211277961731e-08,True,3.725290298461914e-09,True,True,3.725290298461914e-09,passed,0.0101,,True,1.0,1.333,0.07,0.07,0.04
GlobalAveragePool_2d_single_channel,True,success,True,True,False,success,2.3283064365386963e-08,True,8.381903171539307e-09,True,True,8.381903171539307e-09,passed,0.0028,,True,1.0,1.0,0.02,0.02,0.01
GlobalAveragePool_3d,True,success,True,True,False,success,9.313225746154785e-10,True,6.05359673500061e-09,True,True,6.05359673500061e-09,passed,0.0396,,True,,,,,
GlobalMaxPool,True,success,True,True,False,success,0.0,True,0.0,True,True,0.0,passed,0.0103,,True,0.714,1.25,0.07,0.05,0.05
GlobalMaxPool_2d_single_channel,True,success,True,True,False,success,0.0,True,0.0,True,True,0.0,passed,0.0052,,True,1.0,1.0,0.04,0.04,0.02
GlobalMaxPool_3d,True,success,True,True,False,success,0.0,True,0.0,True,True,0.0,passed,0.0482,,True,,,,,
Greater,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.8341,,False,,,0.14,,
GreaterEqual,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.8367,,False,,,,,
GridSample,True,success,True,False,True,success,1.1920928955078125e-07,True,1.1920928955078125e-07,True,True,1.1920928955078125e-07,passed,0.0007,,True,,,,0.0,0.0
Group_Convolution_2D,True,success,True,False,True,success,0.0,True,0.0012100934982299805,True,True,0.0012100934982299805,passed,8.0955,,True,0.048,0.036,38.4,1.83,1.96
Group_Convolution_2D_kernel,True,success,True,False,True,success,0.0,True,0.001382589340209961,True,True,0.001382589340209961,passed,2.1879,,True,5.268,0.134,20.53,108.16,2.75
HardSigmoid,True,success,True,False,True,success,5.960464477539063e-08,True,5.960464477539063e-08,True,True,5.960464477539063e-08,passed,0.1366,,True,4.048,1.476,0.21,0.85,0.31
InstanceNormalization,True,success,True,False,True,success,3.5762786865234375e-06,True,1.1920928955078125e-06,True,True,1.1920928955078125e-06,passed,0.1824,,True,1.373,1.0,0.83,1.14,0.83
InstanceNormalization_1d,True,success,False,False,True,success,7.152557373046875e-07,True,4.76837158203125e-07,True,True,4.76837158203125e-07,passed,0.0066,,False,,,0.02,,
InstanceNormalization_3d,True,success,True,False,True,success,1.430511474609375e-06,True,2.384185791015625e-06,True,True,2.384185791015625e-06,passed,0.0484,,True,,,,,
LSTM,True,fail,,False,True,fail,0.1095222681760788,,,,,,,,,,,,,,
LayerNorm,True,success,True,False,True,success,1.0728836059570312e-06,True,8.344650268554688e-07,True,True,8.344650268554688e-07,passed,0.1218,,True,1.61,1.771,0.41,0.66,0.62
LayerNorm_1d,True,success,True,False,True,success,0.0022115707397460938,True,9.5367431640625e-07,True,True,9.5367431640625e-07,passed,0.1026,,True,1.353,1.088,0.34,0.46,0.37
LayerNorm_3d,True,fail,,False,True,fail,1.0000004768371582,,,,,,,,,True,1.6,1.2,0.05,0.08,0.06
LayerNorm_eps,True,success,True,False,True,success,9.5367431640625e-07,True,4.76837158203125e-07,True,True,4.76837158203125e-07,passed,0.0508,,True,1.438,1.25,0.16,0.23,0.2
LayerNorm_no_affine,True,success,True,False,True,success,1.6689300537109375e-06,True,9.5367431640625e-07,True,True,9.5367431640625e-07,passed,0.1849,,True,1.544,1.161,0.68,1.05,0.65
LayerNorm_vision,True,success,True,False,True,success,2.1457672119140625e-06,True,7.152557373046875e-07,True,True,7.152557373046875e-07,passed,0.2296,,True,1.571,1.417,0.77,1.21,1.02
Less,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.8414,,False,,,,,
LessEqual,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.8375,,False,,,,,
Log,True,success,True,False,True,success,2.384185791015625e-07,True,2.384185791015625e-07,True,True,2.384185791015625e-07,passed,0.4415,,True,0.906,1.0,0.32,0.29,0.32
LogSoftmax,True,success,True,True,False,success,9.5367431640625e-07,True,4.76837158203125e-07,True,True,4.76837158203125e-07,passed,0.0558,,True,0.968,1.273,0.31,0.3,0.42
LogSoftmax_axis_0,True,success,True,True,False,success,4.76837158203125e-07,True,4.76837158203125e-07,True,True,4.76837158203125e-07,passed,0.1121,,True,0.75,1.2,0.04,0.03,0.06
LogSoftmax_axis_1,True,success,True,True,False,success,9.5367431640625e-07,True,4.76837158203125e-07,True,True,4.76837158203125e-07,passed,0.0578,,True,1.0,1.0,0.06,0.06,0.09
LogSoftmax_axis_2,True,success,True,True,False,success,9.5367431640625e-07,True,4.76837158203125e-07,True,True,4.76837158203125e-07,passed,0.0591,,True,1.25,0.857,0.04,0.05,0.06
LogicalXor,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.1454,,False,,,,,
LogicalXor3d,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.1486,,False,,,,,
LogicalXor_2d,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.036,,False,,,,,
MatMul,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,1.747,,True,,,,,
MatMul_1d_3d,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.0075,,True,5.0,,0.01,0.05,0.08
MatMul_3d,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.0595,,True,2.333,3.5,0.06,0.14,0.21
MatMul_bcast,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.2218,,,,,,,
MatMul_square,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.4412,,True,,,,,
MaxPool,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.0149,,True,2.75,2.125,0.08,0.22,0.17
MaxPool_2d_ceil,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.006,,True,1.333,0.333,0.03,0.04,0.01
MaxPool_2d_dilations,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.0017,,False,,,0.01,,
MaxPool_2d_same_lower,True,fail,,False,True,fail,,,,,,,,,,,,,,,
