op,host_status,device_status,ours_gpu_ms,native_gpu_ms,speedup_fair,rounds
ATan,crash,,,,,
Abs,success,passed,5.7693,5.2746,0.914,2
Acos,crash,,,,,
Acosh,crash,,,,,
Add,success,passed,0.2434,0.2405,0.988,2
And,success,passed,0.2247,,,2
ArgMax,success,passed,0.3077,,,2
ArgMax_default_axis_example,success,passed,50.8744,,,1
ArgMax_keepdims_example,success,passed,0.4885,,,4
ArgMax_negative_axis_keepdims_example,success,passed,0.7849,,,3
ArgMin,success,passed,0.2856,,,3
ArgMin_default_axis_example,success,passed,50.4415,,,2
ArgMin_keepdims_example,success,passed,0.3196,,,2
ArgMin_negative_axis_keepdims_example,success,passed,0.7779,,,3
Asin,crash,,,,,
Asinh,crash,,,,,
Atanh,crash,,,,,
AveragePool,success,passed,0.2894,0.297,1.026,3
AveragePool_2d_ceil,success,passed,0.4108,0.3267,0.795,2
AveragePool_2d_strides,success,passed,0.4039,0.3392,0.84,1
BatchNormalization,success,passed,0.5357,0.5632,1.051,1
BatchNormalization_epsilon,success,passed,0.7761,0.5295,0.682,1
BatchNormalization_momentum,success,passed,0.5364,0.5689,1.061,1
BitWiseOr,fail,none,,,,15
BitWiseXor,success,passed,0.7165,,,2
BitwiseAnd,success,passed,0.2032,,,2
Cast,crash,,,,,
Ceil,crash,,,,,
Celu,success,passed,0.2767,0.2552,0.922,1
Clip,crash,,,,,
Concat,success,,,,,2
Conv,success,passed,0.3082,,,2
Conv3D,success,passed,18.061,,,2
ConvTranspose_2D__asymmetric_input__asymmetric_kernel,success,passed,2.7227,2.0659,0.759,2
ConvTranspose_dilations,success,passed,24.9189,,,2
Conv_with_strides_no_padding,success,passed,14.2332,,,2
Conv_with_strides_padding,success,passed,0.5952,,,2
Cos,crash,,,,,
Cosh,crash,,,,,
CumSum,crash,,,,,
DeconvolutionDepthwise_2D_kernel,success,passed,0.5906,0.6811,1.153,3
DeconvolutionDepthwise_2D_stride,success,passed,3.6999,2.4353,0.658,2
Deconvolution_1D,success,passed,3.2306,,,3
Deconvolution_2D__asymmetric_input__asymmetric_kernel,success,passed,12.6334,7.239,0.573,1
Deconvolution_2D_asymmetric_input_square_kernel___dilated____padded____strided__,success,passed,29.7985,3.6483,0.122,4
Dense_Convolution_1D,success,passed,2.4868,0.9965,0.401,2
Dense_Convolution_2D,success,passed,9.6223,2.0556,0.214,2
